record_a_id,record_b_id,label,split
001_ru,001_en,true,train
001_ru,001_en,true,val
002_ru,002_en,true,train
003_ru,003_en,true,train
004_ru,004_en,true,train
005_ru,005_en,true,train
006_ru,006_en,true,train
007_ru,007_en,true,train
008_ru,008_en,true,train
009_ru,009_en,true,train
010_ru,010_en,true,train
011_ru,011_en,true,train
001_ru,002_en,false,train
001_ru,003_en,false,train
001_ru,005_en,false,train
001_ru,009_en,false,train
002_ru,001_en,false,train
002_ru,003_en,false,train
002_ru,006_en,false,train
003_ru,004_en,false,train
003_ru,007_en,false,train
005_ru,006_en,false,train
005_ru,008_en,false,train
005_ru,009_en,false,train
006_ru,010_en,false,train
007_ru,011_en,false,train
009_ru,010_en,false,train
001_ru,002_ru,false,train
005_ru,006_ru,false,train
009_ru,010_ru,false,train
001_en,002_en,false,train
005_en,006_en,false,train
009_en,010_en,false,train
001_ru,005_en,false,test
002_ru,006_en,false,test
005_ru,001_en,false,test
009_ru,001_en,false,test
